time, iteration, regSquaredError
2017-05-24 20:21:53,189,84210.3797093652
2017-05-24 20:22:46,190,84199.8659129066
2017-05-24 20:23:39,191,84189.51232788
2017-05-24 20:24:32,192,84179.315473315
2017-05-24 20:25:25,193,84169.271963777
2017-05-24 20:26:18,194,84159.3785062328
2017-05-24 20:27:11,195,84149.631897089
2017-05-24 20:28:04,196,84140.0290192785
2017-05-24 20:28:57,197,84130.5668395141
2017-05-24 20:29:49,198,84121.2424056081
2017-05-24 20:30:42,199,84112.0528438898
2017-05-24 20:31:35,200,84102.9953567273
2017-05-24 20:32:28,201,84094.0672201345
2017-05-24 20:33:21,202,84085.2657814654
2017-05-24 20:34:14,203,84076.5884571833
2017-05-24 20:35:07,204,84068.0327307242
2017-05-24 20:36:00,205,84059.5961504149
2017-05-24 20:36:53,206,84051.2763274762
2017-05-24 20:37:46,207,84043.0709341125
2017-05-24 20:38:39,208,84034.9777016336
2017-05-24 20:39:32,209,84026.9944186624
2017-05-24 20:40:25,210,84019.1189294124
2017-05-24 20:41:18,211,84011.3491320032
2017-05-24 20:42:10,212,84003.6829768541
2017-05-24 20:43:03,213,83996.1184651135
2017-05-24 20:43:56,214,83988.6536471695
2017-05-24 20:44:49,215,83981.2866211714
2017-05-24 20:45:42,216,83974.015531652
2017-05-24 20:46:35,217,83966.838568142
2017-05-24 20:47:28,218,83959.7539638779
2017-05-24 20:48:21,219,83952.7599945213
2017-05-24 20:49:14,220,83945.8549769425
2017-05-24 20:50:07,221,83939.0372680254
2017-05-24 20:51:00,222,83932.3052635306
2017-05-24 20:51:53,223,83925.6573969885
2017-05-24 20:52:46,224,83919.0921386161
2017-05-24 20:53:39,225,83912.607994293
2017-05-24 20:54:31,226,83906.2035045553
2017-05-24 20:55:24,227,83899.8772436297
2017-05-24 20:56:17,228,83893.6278184864
2017-05-24 20:57:10,229,83887.4538679431
2017-05-24 20:58:03,230,83881.3540617739
2017-05-24 20:58:56,231,83875.3270998786
2017-05-24 20:59:49,232,83869.3717114377
2017-05-24 21:00:42,233,83863.4866541212
2017-05-24 21:01:35,234,83857.6707133392
2017-05-24 21:02:28,235,83851.9227014562
2017-05-24 21:03:21,236,83846.2414571089
2017-05-24 21:04:14,237,83840.625844468
2017-05-24 21:05:06,238,83835.0747525818
2017-05-24 21:05:59,239,83829.5870947152
2017-05-24 21:06:52,240,83824.1618077065
2017-05-24 21:07:45,241,83818.7978513515
2017-05-24 21:08:38,242,83813.494207806
2017-05-24 21:09:31,243,83808.2498810007
2017-05-24 21:10:24,244,83803.0638960886
2017-05-24 21:11:17,245,83797.9352988807
2017-05-24 21:12:10,246,83792.8631553376
2017-05-24 21:13:03,247,83787.8465510335
2017-05-24 21:13:56,248,83782.8845906863
2017-05-24 21:14:49,249,83777.9763976395
2017-05-24 21:15:42,250,83773.1211134146
2017-05-24 21:16:35,251,83768.3178972639
2017-05-24 21:17:28,252,83763.5659256986
2017-05-24 21:18:21,253,83758.8643920889
